x	y	label
3485.2896	1488.1636	1
3211.4124	1759.989	1
3739.8105	1755.3074	1
3463.0443	1758.8186	1
4047.7779	2043.5184	1
3192.345	2053.4668	1
3480.6672	2045.8592	1
3731.7213	2045.274	1
4905.2331	2333.7776	1
3203.0343	2344.0186	1
3476.9115	2337.2888	1
5188.644	2337.2888	1
3757.4334	2338.1666	1
4610.5551	2336.9962	1
4052.1114	2350.7484	1
4302.0099	2346.9446	1
2840.4648	2587.1692	1
5494.0113	2614.381	1
5165.8209	2617.0144	1
3752.5221	2626.3776	1
4895.9883	2625.4998	1
3481.245	2627.8406	1
3203.0343	2624.3294	1
4646.3787	2629.011	1
4313.8548	2630.7666	1
4051.2447	2631.937	1
2842.4871	2874.795	1
6038.2989	2886.499	1
3192.9228	2915.759	1
4900.0329	2911.9552	1
5771.6442	2909.3218	1
5495.4558	2913.1256	1
4608.8217	2914.5886	1
4041.711	2916.9294	1
4315.5882	2918.0998	1
3473.4447	2917.5146	1
3739.5216	2917.5146	1
5189.5107	2921.0258	1
2822.8419	3168.2728	1
6043.4991	3169.1506	1
2579.877	3188.4622	1
3199.8564	3202.7996	1
5505.5673	3191.3882	1
3757.7223	3197.8254	1
4915.9224	3193.4364	1
5756.0436	3198.118	1
4048.3557	3202.7996	1
3451.4883	3202.2144	1
5193.5553	3201.044	1
4599.288	3206.6034	1
4329.1665	3206.6034	1
6405.7797	3216.8444	1
2838.4425	3458.2394	1
6051.8772	3461.1654	1
2553.876	3483.403	1
4896.855	3486.0364	1
3187.4337	3497.4478	1
4623.2667	3490.718	1
5768.7552	3488.6698	1
3752.5221	3490.4254	1
3482.9784	3496.8626	1
4323.9663	3493.644	1
4030.155	3495.6922	1
5188.0662	3497.1552	1
5505.8562	3498.9108	1
6402.8907	3508.5666	1
6658.2783	3505.348	1
2847.3984	3749.9616	1
6048.4104	3755.8136	1
5494.5891	3782.4402	1
6658.5672	3779.8068	1
2562.2541	3781.855	1
6409.5354	3790.3404	1
3200.7231	3796.485	1
5778.5778	3791.2182	1
3771.8784	3798.8258	1
5196.1554	3790.9256	1
3460.1553	3799.1184	1
4330.0332	3801.1666	1
4895.6994	3799.9962	0
2299.9329	3803.5074	1
4025.2437	3807.8964	1
4613.1552	3809.0668	1
2832.3756	4041.3912	1
6046.3881	4042.269	1
2571.21	4067.4326	1
3748.1886	4072.992	1
3198.9897	4079.7218	1
2307.1554	4074.1624	1
5210.8893	4078.5514	1
3469.4001	4078.5514	1
5496.6114	4078.5514	0
5767.0218	4077.9662	1
4053.8448	4082.9404	0
4881.8322	4084.9886	0
6398.2683	4093.1814	1
6663.4785	4084.696	1
6959.0232	4087.622	1
4616.9109	4089.6702	0
4322.2329	4096.9852	0
2834.9757	4334.2838	1
6047.5437	4339.8432	1
2318.1336	4357.3992	1
2559.3651	4357.1066	1
4629.9114	4360.9104	0
5760.666	4360.6178	0
5505.8562	4361.203	0
5196.1554	4366.1772	0
6663.4785	4363.8364	1
3203.0343	4370.2736	1
4883.5656	4368.518	1
6399.4239	4376.4182	1
1975.4982	4373.7848	1
3469.4001	4367.9328	0
3745.0107	4368.8106	0
6969.7125	4373.4922	1
4300.5654	4369.3958	1
4052.6892	4372.907	0
2832.6645	4622.2022	1
6042.6324	4641.2212	1
2575.8324	4653.2178	1
4629.9114	4663.1662	0
5508.4563	4663.1662	0
2283.4656	4665.2144	1
3196.3896	4672.822	0
5757.1992	4665.507	0
1986.1875	4672.2368	1
3482.9784	4672.822	0
4052.9781	4671.6516	1
3736.0548	4676.6258	1
5196.4443	4676.3332	0
4883.2767	4678.0888	1
6653.367	4676.3332	0
4313.8548	4678.9666	0
6408.3798	4688.0372	1
6980.4018	4682.4778	1
6053.0328	4905.439	0
2835.2646	4919.7764	1
5745.9321	4928.847	0
4639.1562	4941.4288	1
5508.1674	4937.625	0
3192.9228	4951.9624	0
4868.5428	4946.6956	1
3465.6444	4954.5958	0
2309.4666	4951.9624	1
3759.1668	4952.8402	1
1985.3208	4952.8402	1
4326.2775	4954.8884	0
4027.8438	4955.7662	1
6692.3685	4957.2292	0
2565.7209	4959.57	1
5175.0657	4957.8144	1
6404.0463	4962.496	0
6987.6243	4960.4478	1
2839.0203	5229.0546	0
6067.1889	5231.1028	0
4597.8435	5239.003	1
4336.389	5237.2474	0
3196.1007	5248.3662	0
5489.9667	5239.003	0
5745.6432	5241.3438	0
4908.9888	5239.2956	0
3734.0325	5243.6846	0
4044.8889	5241.6364	0
2552.7204	5244.5624	1
5181.1326	5248.9514	0
2300.7996	5253.3404	1
1692.3762	5254.5108	1
1992.2544	5259.485	1
6697.8576	5261.2406	0
6404.3352	5265.9222	0
6948.3339	5270.3112	1
2838.4425	5516.3878	0
6063.4332	5534.529	0
2318.1336	5533.9438	1
4615.7553	5534.2364	0
4905.8109	5536.8698	0
3189.7449	5545.0626	1
3481.8228	5543.8922	0
4319.9217	5543.307	0
5511.6342	5544.77	0
2549.8314	5546.233	1
5180.5548	5546.5256	0
1979.2539	5550.9146	1
4028.4216	5552.6702	1
5749.6878	5559.6926	0
1681.398	5559.4	0
6404.913	5568.4706	0
6691.2129	5574.3226	0
6942.267	5578.7116	0
2839.5981	5804.8914	0
6039.4545	5810.7434	0
1381.8087	5816.3028	0
2568.8988	5829.7624	0
2309.4666	5827.7142	1
5505.2784	5829.1772	0
1708.2657	5831.2254	0
1983.2985	5830.3476	1
3488.7564	5832.3958	0
3189.7449	5837.0774	1
4323.9663	5831.8106	0
4894.2549	5832.981	0
5177.3769	5836.1996	0
4614.0219	5834.7366	0
3739.2327	5837.9552	0
5773.9554	5837.0774	0
4036.5108	5840.296	0
6402.8907	5850.8296	0
6675.3234	5849.074	0
2841.3315	6091.0542	0
6046.9659	6123.5328	0
2555.0316	6129.3848	0
6396.246	6137.8702	0
4888.7658	6134.6516	0
6682.257	6133.1886	1
4607.3772	6136.4072	0
5777.1333	6138.1628	0
4340.1447	6140.211	0
5495.7447	6142.8444	0
5216.0895	6143.4296	0
4019.7546	6148.6964	0
3760.0335	6149.8668	0
3217.1904	6158.3522	0
3464.7777	6151.6224	0
2846.2428	6389.2136	0
6048.1215	6397.699	1
3752.2332	6415.8402	0
4604.7771	6412.6216	0
4906.3887	6414.3772	0
3198.9897	6426.3738	0
5773.9554	6418.181	0
3476.9115	6421.107	0
5497.1892	6426.0812	0
4332.6333	6424.033	0
4044.8889	6429.0072	0
5195.5776	6437.2	0
6675.3234	6444.515	0
6413.2911	6451.5374	0
5196.1554	6705.2216	0
6053.8995	6679.1802	1
3735.7659	6699.6622	0
4616.622	6697.3214	0
4909.5666	6701.4178	0
3480.6672	6703.466	0
5528.6793	6706.6846	0
4319.3439	6705.5142	0
4059.9117	6707.2698	0
5763.2661	6717.2182	0
6401.4462	6730.3852	0
6053.3217	6977.6322	0
5772.222	7011.5738	0
5507.3007	7011.8664	0
5202.2223	7035.567	0
6054.4773	7277.2546	1
